ROW_ID,GENERO,ANIOS,ESTADO,FECHA_ULT_COMPRA,ARTICULOS_BEBES,MONTO_BEBES,ARTICULOS_OTROS,MONTO_OTROS,ARTICULOS_TOTALES,MONTO_TOTALES,Q1,Q2,Q3,Q4
128,M,77,YUCATAN,2022-08-01,214,"2,806,177,236,998",381,"81,990,393,700,625",595,"110,052,166,070,605",133,392,70,0
119,M,67,ZACATECAS,2022-08-01,237,"29,546,995,164,435",356,"74,398,061,066,138",593,"103,945,056,230,573",139,333,121,0
113,M,75,YUCATAN,2022-08-01,188,"25,477,229,760,547",361,"76,971,534,432,009",549,"102,448,764,192,556",97,296,156,0
16,M,67,VERACRUZ DE IGNACIO DE LA LLAVE,2022-08-01,231,"29,875,526,453,309",291,"62,758,242,646,252",522,"92,633,769,099,561",83,313,126,0
10,M,73,ZACATECAS,2022-08-01,190,"20,424,685,040,753",290,"70,002,725,585,655",480,"90,427,410,626,408",156,221,103,0
19,M,68,ZACATECAS,2022-08-01,187,"24,551,183,454,453",234,"48,300,356,105,604",421,"72,851,539,560,057",121,185,115,0
18,M,73,ZACATECAS,2022-08-01,178,"27,281,897,368,135",230,"46,002,854,273,464",408,"73,284,751,641,599",87,229,92,0
13,M,73,YUCATAN,2022-08-01,161,"2,121,148,556,595",234,"62,183,422,905,889",395,"83,394,908,471,839",72,185,138,0
14,M,69,VERACRUZ DE IGNACIO DE LA LLAV,2022-08-01,148,"20,440,854,824,926",243,"6,081,070,514,715",391,"81,251,559,972,076",102,236,53,0
17,M,74,VERACRUZ DE IGNACIO DE LA LLAVE,2022-08-01,115,"17,680,870,173,766",255,"52,634,818,287,309",370,"70,315,688,461,075",64,249,57,0
127,M,89,ZACATECAS,2022-08-01,109,"1,443,082,467,746",246,"53,411,599,640,655",355,"67,842,424,318,115",68,213,74,0
15,M,75,ZACATECAS,2022-08-01,132,"17,270,398,140,494",220,"60,237,683,564,656",352,"7,750,808,170,515",99,155,98,0
135,M,62,TAMAULIPAS,2022-08-01,55,"7,793,629,991,477",157,"4,279,554,399,225",212,"50,589,173,983,727",0,14,198,0
1164,M,70,YUCATAN,2022-07-01,66,"7,842,770,205,548",118,"24,838,578,099,095",184,"32,681,348,304,643",69,109,6,0
1102,M,54,ZACATECAS,2022-08-01,64,"8,429,271,490,874",117,"26,288,703,912,929",181,"34,717,975,403,803",18,113,50,0
1132,M,72,SAN LUIS POTOSI,2022-07-01,57,"8,195,180,666,498",122,"32,496,969,834,392",179,"4,069,215,050,089",31,142,6,0
1192,M,60,TABASCO,2022-07-01,42,"5,825,699,699,885",117,"21,243,139,854,953",159,"27,068,839,554,838",87,44,28,0
1137,M,67,TAMAULIPAS,2022-08-01,78,"7,106,448,306,145",79,"13,246,444,184,057",157,"20,352,892,490,202",10,65,82,0
1194,M,70,VERACRUZ DE IGNACIO DE LA LLAVE,2022-08-01,61,"5,885,045,535,435",94,"17,211,324,464,567",155,"23,096,370,000,002",39,33,83,0
1172,M,65,VERACRUZ DE IGNACIO DE LA LLAVE,2022-08-01,63,"9,171,317,382,323",90,"20,188,411,260,929",153,"29,359,728,643,252",49,51,53,0
1182,M,68,TAMAULIPAS,2022-08-01,55,"8,080,234,938,631",97,"21,383,284,487,242",152,"29,463,519,425,873",39,51,62,0
1136,M,73,VERACRUZ DE IGNACIO DE LA LLAV,2022-08-01,53,"6,678,312,385,384",99,"26,959,884,013,451",152,"33,638,196,398,835",43,79,30,0
1277,M,42,PUEBLA,2022-07-01,131,15246.98,20,2512.88,151,17759.86,0,146,5,0
1152,M,77,VERACRUZ DE IGNACIO DE LA LLAVE,2022-08-01,62,"8,302,826,833,149",87,"1,747,454,536,117",149,"25,777,372,194,319",27,72,50,0
1196,M,64,VERACRUZ DE IGNACIO DE LA LLAVE,2022-08-01,39,"5,955,465,048,217",107,"2,934,262,358,045",146,"35,298,088,628,667",34,69,43,0
1110,M,64,VERACRUZ DE IGNACIO DE LA LLAVE,2022-07-01,52,"762,012,786,744",90,"2,416,908,562,533",142,"3,178,921,349,277",76,45,21,0
1104,M,56,ZACATECAS,2022-08-01,48,"6,818,822,527,932",87,"20,036,198,584,417",135,"26,855,021,112,349",6,78,51,0
1188,M,50,PUEBLA,2022-08-01,43,"6,418,081,301,161",89,"18,134,788,698,838",132,"24,552,869,999,999",51,71,10,0
1286,M,69,YUCATAN,2022-08-01,56,"6,750,328,644,537",75,"14,239,120,899,006",131,"20,989,449,543,543",17,83,31,0
1142,M,65,ZACATECAS,2022-08-01,36,"4,963,475,205,827",94,"21,435,074,707,963",130,"2,639,854,991,379",7,85,38,0
1184,M,55,SAN LUIS POTOSI,2022-08-01,48,"5,321,985,937,152",79,"13,470,517,206,254",127,"18,792,503,143,406",41,44,42,0
1122,M,69,ZACATECAS,2022-08-01,40,"5,277,353,561,702",87,"16,915,442,205,995",127,"22,192,795,767,697",9,74,44,0
1228,M,48,NUEVO LEON,2022-08-01,49,"6,831,411,968,083",72,"12,642,833,291,845",121,"19,474,245,259,928",79,29,13,0
1147,M,60,ZACATECAS,2022-08-01,47,"5,922,680,680,944",71,"23,945,671,762,143",118,"29,868,352,443,087",19,46,53,0
1162,M,67,VERACRUZ DE IGNACIO DE LA LLAVE,2022-08-01,33,"5,035,843,126,758",84,"16,082,597,650,295",117,"21,118,440,777,053",34,63,20,0
1156,F,68,PUEBLA,2022-07-01,40,"497,857,081,511",77,"14,828,826,712,801",117,"19,807,397,527,911",55,49,13,0
182,M,63,SINALOA,2022-07-01,14,"1,883,552,201,085",100,"15,340,163,205,705",114,"1,722,371,540,679",66,41,7,0
1240,M,58,QUINTANA ROO,2022-08-01,27,"3,859,557,911,647",86,"18,711,155,341,247",113,"22,570,713,252,894",17,93,3,0
1185,M,62,MEXICO,2022-07-01,58,"7,291,932,797,363",53,"15,093,884,073,756",111,"22,385,816,871,119",20,78,13,0
1214,M,52,TABASCO,2022-08-01,44,"4,768,011,716,704",65,"11,432,362,534,567",109,"16,200,374,251,271",10,55,44,0
1150,M,69,TABASCO,2022-08-01,26,"38,802,162,726",82,"22,043,330,995,212",108,"25,923,547,267,812",23,63,22,0
1280,M,60,SAN LUIS POTOSI,2022-07-01,56,"7,701,935,323,103",51,"11,664,813,269,844",107,"19,366,748,592,947",25,59,23,0
1178,M,69,YUCATAN,2022-08-01,49,"8,025,965,722,659",55,"18,872,251,072,626",104,"26,898,216,795,285",1,70,33,0
1226,M,69,VERACRUZ DE IGNACIO DE LA LLAVE,2022-08-01,44,"5,887,360,953,027",60,"13,147,854,869,432",104,"19,035,215,822,459",46,34,24,0
1108,M,63,YUCATAN,2022-06-01,39,"4,139,654,979,627",63,"15,803,323,180,382",102,"19,942,978,160,009",36,66,0,0
1105,M,70,TABASCO,2022-08-01,22,"307,166,664,628",79,"18,481,739,205,493",101,"21,553,405,851,773",28,62,11,0
1112,M,73,TAMAULIPAS,2022-08-01,30,"3,515,941,824,522",70,"15,226,454,485,419",100,"18,742,396,309,941",46,33,21,0
1230,M,70,SAN LUIS POTOSI,2022-08-01,28,"3,853,018,328,188",71,"14,786,511,076,524",99,"18,639,529,404,712",14,58,27,0
1212,M,77,VERACRUZ DE IGNACIO DE LA LLAVE,2022-08-01,39,"5,318,251,360,788",59,"11,873,877,688,662",98,"1,719,212,904,945",9,52,37,0
1198,M,66,PUEBLA,2022-08-01,32,"352,958,725,869",66,"14,683,318,282,088",98,"18,212,905,540,778",17,67,14,0
1166,M,57,TAMAULIPAS,2022-08-01,22,"3,722,781,399,251",76,"15,779,957,213,158",98,"19,502,738,612,409",2,41,55,0
1284,M,56,VERACRUZ DE IGNACIO DE LA LLAVE,2022-08-01,30,"332,839,116,211",68,"10,750,091,074,507",98,"14,078,482,236,617",32,35,31,0
1189,M,67,QUERETARO,2022-08-01,32,4846.88,64,14909.41,96,19756.29,0,46,50,0
1246,M,67,NUEVO LEON,2022-08-01,56,"6,959,189,882,011",40,"14,130,323,409,622",96,"21,089,513,291,633",1,59,36,0
1268,F,67,TAMAULIPAS,2022-08-01,36,"538,024,859,825",59,"10,636,884,534,728",95,"16,017,133,132,978",12,55,28,0
1176,M,47,ZACATECAS,2022-08-01,30,4032.25,65,"15,927,390,000,001",95,"19,959,640,000,001",13,54,28,0
1154,M,61,YUCATAN,2022-08-01,42,"4,672,662,960,407",49,"10,898,077,039,592",91,"15,570,739,999,999",37,41,13,0
1168,M,68,VERACRUZ DE IGNACIO DE LA LLAVE,2022-08-01,30,"4,418,210,252,455",60,"15,032,630,487,472",90,"19,450,840,739,927",16,55,19,0
1262,M,74,VERACRUZ DE IGNACIO DE LA LLAVE,2022-08-01,24,"2,672,812,412,904",66,"13,101,150,759,996",90,"157,739,631,729",25,40,25,0
1180,M,76,YUCATAN,2022-08-01,45,"4,861,318,299,926",44,"7,966,456,110,626",89,"12,827,774,410,552",12,27,50,0
1292,M,57,PUEBLA,2022-08-01,37,"4,477,039,659,543",52,"13,257,600,340,457",89,17734.64,10,71,8,0
1187,M,40,YUCATAN,2022-06-01,21,2860.66,66,14677.86,87,17538.52,29,58,0,0
1128,M,48,QUERETARO,2022-08-01,30,"3,499,138,039,926",57,"10,948,424,700,543",87,"14,447,562,740,469",19,60,8,0
196,M,63,YUCATAN,2022-08-01,20,"244,537,694,048",66,"10,860,615,483,184",86,"13,305,992,423,664",2,45,39,0
13992,M,51,MEXICO,2022-08-01,17,"2,412,359,839,543",67,"15,069,334,684,615",84,"17,481,694,524,158",0,0,84,0
1208,M,60,YUCATAN,2022-07-01,38,"5,610,591,302,279",46,"1,173,025,134,023",84,"17,340,842,642,509",10,65,9,0
134,M,73,QUERETARO,2022-05-01,36,4228.07,47,13714.46,83,17942.53,11,72,0,0
1190,M,55,SAN LUIS POTOSI,2022-08-01,22,"2,743,871,390,265",61,"14,098,485,498,997",83,"16,842,356,889,262",6,34,43,0
1200,M,61,ZACATECAS,2022-07-01,30,"4,302,329,497,035",53,"23,143,695,093,051",83,"27,446,024,590,086",43,28,12,0
1118,F,55,SONORA,2022-07-01,49,"5,571,474,402,087",34,"6,011,416,984,961",83,"11,582,891,387,048",0,56,27,0
1114,M,71,VERACRUZ DE IGNACIO DE LA LLAVE,2022-07-01,37,"4,449,746,217,935",45,"11,180,496,939,201",82,"15,630,243,157,136",36,31,15,0
1216,M,77,PUEBLA,2022-07-01,24,"3,925,884,876,799",58,"10,892,014,028,989",82,"14,817,898,905,788",23,43,16,0
1146,M,74,SAN LUIS POTOSI,2022-07-01,26,"4,297,525,066,886",55,"13,236,298,712,612",81,"17,533,823,779,498",37,35,9,0
1276,M,72,TLAXCALA,2022-08-01,20,"2,869,343,213,262",59,"10,666,313,741,567",79,"13,535,656,954,829",31,24,24,0
1149,M,71,NUEVO LEON,2022-08-01,32,"3,245,944,963,009",47,"9,342,715,036,989",79,"12,588,659,999,998",16,19,44,0
1140,M,61,ZACATECAS,2022-08-01,32,"3,673,729,893,282",46,"9,572,586,135,007",78,"13,246,316,028,289",11,44,23,0
1242,M,63,ZACATECAS,2022-08-01,18,"2,628,448,151,281",60,"18,184,677,908,099",78,"2,081,312,605,938",0,65,13,0
1130,M,69,TLAXCALA,2022-08-01,31,"5,465,408,144,393",46,"9,741,836,742,355",77,"15,207,244,886,748",7,51,19,0
1139,M,53,TABASCO,2022-08-01,52,"546,496,469,366",25,"5,162,933,982,345",77,"10,627,898,676,005",0,53,24,0
1126,M,71,VERACRUZ DE IGNACIO DE LA LLAVE,2022-07-01,15,"2,536,775,872,775",61,"15,382,124,820,815",76,"1,791,890,069,359",4,63,9,0
1204,M,76,QUINTANA ROO,2022-08-01,36,"397,068,615,098",40,"14,786,199,613,081",76,"18,756,885,764,061",16,40,20,0
